video_id,comment_id,parent_comment_id,level,username,nickname,comment,create_time,clean_comment,is_empty_after_cleaning,sentiment,sentiment_score,agufsamudra_sentiment,agufsamudra_sentiment_score,mdhugol_sentiment,mdhugol_sentiment_score,aardiiiiy_sentiment,aardiiiiy_sentiment_score,final_sentiment_voting
7553950099299110151,7554042072476943111,,0.0,aris.jo2,Aris Jo,"ibuk ngomongnya, TIMES NEW ROMAN, BOLD, CAPLOCK NYALA, 16, CTRL +E",2025-09-25 22:01:26,ibuk ngomongnya times new roman bold caplock nyala 16 ctrl e,False,netral,0.9754078388214111,negatif,0.9957045912742615,netral,0.8462600111961365,negatif,0.9895619750022888,negatif
7553950099299110151,7554050261040661266,7.554042072476943e+18,1.0,heztyannadrwskinc,Hezty Anna DrwSkinca,ENTER ENTER ENTER Langsung ke INTI nya,2025-09-25 22:33:09,enter enter enter langsung ke inti nya,False,netral,0.9549044966697693,negatif,0.9457594156265259,netral,0.9876952171325684,netral,0.9482853412628174,netral
7553950099299110151,7554184392182055687,7.554042072476943e+18,1.0,royantek,Roy Ahmad,SHIFT+ENTER langsung ke lembar berikutnya🗿,2025-09-26 07:13:58,shift enter langsung ke lembar berikutnya,False,netral,0.974612295627594,negatif,0.9700665473937988,netral,0.9947147965431213,netral,0.9880483746528625,netral
7553950099299110151,7554145436236776208,7.554042072476943e+18,1.0,bitas__,bitas__,@Lfajeriah,2025-09-26 04:42:55,,True,empty,0.0,empty,0.0,empty,0.0,empty,0.0,empty
7553950099299110151,7554951123045516049,7.554042072476943e+18,1.0,shiva.slv_,⋆𐙚｡Shiva.ᡣ𐭩˚˚,🤣🤣🤣😭😭,2025-09-28 08:49:05,,True,empty,0.0,empty,0.0,empty,0.0,empty,0.0,empty
7553950099299110151,7554791824016818961,7.554042072476943e+18,1.0,alevayn,Deva♓💜♋,🤣🤣,2025-09-27 22:30:55,,True,empty,0.0,empty,0.0,empty,0.0,empty,0.0,empty
7553950099299110151,7555800499125093138,7.554042072476943e+18,1.0,syariefyunitaa,Yunita Syarief,😭😭Ngakak,2025-09-30 15:45:03,ngakak,False,negatif,0.9961302280426025,negatif,0.9419488906860352,positif,0.9848239421844482,negatif,0.8675886392593384,negatif
7553950099299110151,7554076193713521426,7.554042072476943e+18,1.0,myenisa,myenisa,"sepertinya tombolnya bukan ENTER kak, tapi ENTAR, jadi agak Delay ke tujuan",2025-09-26 00:13:50,sepertinya tombolnya bukan enter kak tapi entar jadi agak delay ke tujuan,False,negatif,0.5387620329856873,negatif,0.9805276393890381,netral,0.5243319272994995,netral,0.9845805764198303,negatif
7553950099299110151,7554187486038311698,7.554042072476943e+18,1.0,juriahaja43,Jiajia,🥰🥰🥰iya iya iya,2025-09-26 07:25:48,iya iya iya,False,negatif,0.9907810091972351,negatif,0.7633157968521118,netral,0.8409871459007263,netral,0.9358452558517456,negatif
7553950099299110151,7554469857090863879,7.554042072476943e+18,1.0,minaaayeaa,아미나,😭,2025-09-27 01:41:29,,True,empty,0.0,empty,0.0,empty,0.0,empty,0.0,empty
7553950099299110151,7555497169916134151,7.554042072476943e+18,1.0,yoloxxx.40,yoloxxx,@eun.sang @itsprilllyyyy,2025-09-29 20:07:58,sang,False,negatif,0.5312010049819946,negatif,0.5812658071517944,positif,0.7125073075294495,negatif,0.8346683979034424,negatif
7553950099299110151,7555525797517722376,7.554042072476943e+18,1.0,itsprilllyyyy,itsprilllyyyy,🤣😭,2025-09-29 21:59:01,,True,empty,0.0,empty,0.0,empty,0.0,empty,0.0,empty
7553950099299110151,7554592303496135440,7.554042072476943e+18,1.0,us2.1.2,ijstwnbln,🤣,2025-09-27 09:36:42,,True,empty,0.0,empty,0.0,empty,0.0,empty,0.0,empty
7553950099299110151,7554302180610835207,7.554042072476943e+18,1.0,asyalittlestar,asya,@alesha 😭,2025-09-26 14:50:45,,True,empty,0.0,empty,0.0,empty,0.0,empty,0.0,empty
7553950099299110151,7554303539226379026,7.554042072476943e+18,1.0,despacitogirlfie,alesha,iya jir 😭,2025-09-26 14:56:05,iya jir,False,negatif,0.7453643083572388,negatif,0.6615448594093323,netral,0.5233537554740906,negatif,0.89496248960495,negatif
